0.497,0.503,0.507,0.509,0.509,0.513,0.514,0.513,0.517,0.514,0.515,0.516,0.516,0.514,0.518,0.519,0.52,0.522,0.527,0.533,
0.51,0.511,0.517,0.518,0.519,0.522,0.521,0.52,0.52,0.518,0.518,0.52,0.518,0.519,0.517,0.519,0.519,0.525,0.53,0.535,
0.518,0.52,0.519,0.52,0.523,0.525,0.524,0.525,0.525,0.524,0.523,0.522,0.52,0.522,0.522,0.52,0.522,0.527,0.53,0.535,
0.526,0.525,0.523,0.528,0.529,0.529,0.529,0.53,0.528,0.526,0.524,0.524,0.523,0.522,0.522,0.52,0.523,0.526,0.53,0.534,
0.529,0.526,0.53,0.526,0.529,0.531,0.533,0.522,0.521,0.521,0.516,0.516,0.515,0.514,0.51,0.52,0.521,0.517,0.522,0.525,
0.523,0.52,0.519,0.517,0.518,0.52,0.52,0.522,0.521,0.522,0.52,0.518,0.518,0.515,0.512,0.515,0.515,0.518,0.522,0.529,
0.526,0.521,0.517,0.52,0.52,0.52,0.526,0.522,0.525,0.525,0.523,0.523,0.521,0.518,0.516,0.514,0.513,0.514,0.521,0.528,
0.528,0.524,0.522,0.52,0.521,0.521,0.523,0.525,0.527,0.526,0.524,0.524,0.52,0.517,0.516,0.515,0.51,0.512,0.518,0.529,
0.528,0.524,0.522,0.521,0.521,0.522,0.528,0.527,0.529,0.529,0.525,0.523,0.519,0.517,0.51,0.514,0.51,0.515,0.521,0.529,
0.527,0.52,0.524,0.523,0.524,0.527,0.53,0.533,0.532,0.532,0.528,0.526,0.521,0.525,0.522,0.522,0.52,0.525,0.527,0.527,
0.531,0.524,0.523,0.526,0.526,0.529,0.531,0.534,0.537,0.536,0.532,0.529,0.527,0.522,0.518,0.517,0.521,0.524,0.528,0.537,
0.529,0.53,0.526,0.527,0.526,0.531,0.532,0.533,0.535,0.537,0.533,0.532,0.529,0.521,0.519,0.521,0.522,0.524,0.524,0.536,
0.536,0.526,0.526,0.528,0.53,0.533,0.533,0.535,0.536,0.532,0.533,0.524,0.526,0.522,0.519,0.52,0.523,0.522,0.527,0.536,
0.536,0.529,0.523,0.525,0.528,0.533,0.535,0.536,0.538,0.534,0.534,0.53,0.528,0.524,0.52,0.519,0.518,0.517,0.525,0.536,
0.536,0.53,0.528,0.527,0.527,0.533,0.536,0.538,0.536,0.532,0.528,0.526,0.524,0.519,0.517,0.511,0.518,0.517,0.519,0.533,
0.535,0.528,0.529,0.524,0.526,0.532,0.537,0.536,0.536,0.534,0.53,0.525,0.524,0.515,0.511,0.513,0.511,0.519,0.521,0.533,
0.535,0.529,0.525,0.526,0.53,0.53,0.533,0.535,0.53,0.529,0.529,0.52,0.522,0.517,0.511,0.512,0.514,0.516,0.518,0.523,
0.534,0.533,0.531,0.524,0.528,0.533,0.531,0.533,0.532,0.528,0.524,0.501,0.52,0.51,0.512,0.51,0.513,0.509,0.519,0.524,
0.531,0.53,0.53,0.526,0.527,0.534,0.534,0.533,0.529,0.527,0.521,0.516,0.513,0.511,0.513,0.508,0.51,0.515,0.521,0.529,
0.532,0.53,0.529,0.526,0.526,0.532,0.532,0.529,0.528,0.523,0.518,0.519,0.514,0.517,0.516,0.511,0.511,0.508,0.519,0.53,
0.521,0.524,0.526,0.525,0.525,0.526,0.526,0.525,0.521,0.521,0.513,0.512,0.515,0.514,0.509,0.509,0.516,0.517,0.522,0.531,
0.521,0.518,0.521,0.516,0.522,0.52,0.52,0.522,0.517,0.51,0.512,0.508,0.509,0.511,0.51,0.507,0.508,0.512,0.515,0.524,
0.509,0.514,0.51,0.514,0.516,0.517,0.515,0.513,0.511,0.509,0.51,0.508,0.509,0.508,0.506,0.507,0.51,0.509,0.517,0.524,
0.51,0.509,0.509,0.51,0.507,0.506,0.505,0.503,0.498,0.501,0.501,0.5,0.501,0.501,0.504,0.504,0.508,0.511,0.515,0.526,
0.5,0.504,0.503,0.499,0.502,0.501,0.498,0.5,0.492,0.49,0.492,0.493,0.496,0.494,0.497,0.503,0.506,0.507,0.512,0.517,
