0.496,0.502,0.506,0.51,0.51,0.512,0.514,0.513,0.516,0.515,0.515,0.516,0.515,0.513,0.517,0.518,0.519,0.521,0.527,0.534,
0.51,0.51,0.516,0.518,0.519,0.522,0.52,0.52,0.52,0.518,0.518,0.519,0.517,0.518,0.516,0.519,0.519,0.525,0.53,0.535,
0.517,0.52,0.519,0.52,0.521,0.525,0.524,0.523,0.525,0.524,0.522,0.522,0.521,0.52,0.522,0.519,0.522,0.527,0.53,0.534,
0.525,0.525,0.522,0.528,0.53,0.53,0.53,0.53,0.528,0.526,0.524,0.524,0.522,0.522,0.522,0.519,0.523,0.526,0.53,0.534,
0.529,0.525,0.529,0.527,0.529,0.53,0.532,0.521,0.52,0.519,0.516,0.515,0.514,0.514,0.51,0.52,0.521,0.516,0.522,0.526,
0.522,0.52,0.519,0.517,0.518,0.519,0.521,0.522,0.521,0.522,0.52,0.518,0.518,0.514,0.512,0.515,0.515,0.518,0.521,0.529,
0.525,0.521,0.517,0.52,0.52,0.52,0.526,0.522,0.524,0.524,0.523,0.523,0.522,0.519,0.515,0.514,0.513,0.514,0.521,0.528,
0.527,0.523,0.522,0.52,0.521,0.52,0.524,0.525,0.527,0.525,0.524,0.523,0.521,0.517,0.516,0.515,0.511,0.513,0.517,0.528,
0.528,0.524,0.522,0.52,0.521,0.522,0.527,0.527,0.528,0.529,0.525,0.522,0.519,0.517,0.51,0.514,0.509,0.514,0.52,0.53,
0.527,0.52,0.523,0.522,0.524,0.527,0.529,0.533,0.531,0.53,0.529,0.526,0.521,0.525,0.522,0.523,0.521,0.525,0.526,0.527,
0.53,0.527,0.522,0.525,0.525,0.529,0.531,0.533,0.536,0.535,0.531,0.527,0.525,0.522,0.518,0.516,0.52,0.524,0.528,0.537,
0.529,0.529,0.525,0.526,0.526,0.531,0.532,0.532,0.535,0.537,0.532,0.532,0.528,0.521,0.518,0.521,0.522,0.525,0.523,0.536,
0.536,0.526,0.526,0.527,0.53,0.532,0.533,0.534,0.535,0.532,0.533,0.525,0.526,0.522,0.519,0.52,0.523,0.522,0.527,0.536,
0.536,0.529,0.522,0.525,0.528,0.534,0.535,0.535,0.538,0.532,0.534,0.53,0.527,0.524,0.52,0.519,0.517,0.517,0.525,0.536,
0.535,0.53,0.527,0.527,0.527,0.532,0.535,0.538,0.537,0.532,0.527,0.527,0.523,0.519,0.517,0.511,0.517,0.517,0.519,0.532,
0.535,0.527,0.529,0.523,0.526,0.532,0.538,0.535,0.536,0.534,0.529,0.525,0.524,0.516,0.511,0.513,0.511,0.519,0.521,0.533,
0.534,0.529,0.524,0.526,0.528,0.532,0.533,0.535,0.531,0.529,0.529,0.52,0.522,0.517,0.511,0.511,0.514,0.517,0.518,0.523,
0.533,0.533,0.53,0.524,0.528,0.532,0.53,0.534,0.532,0.526,0.524,0.501,0.52,0.51,0.513,0.511,0.513,0.509,0.519,0.524,
0.53,0.53,0.529,0.526,0.527,0.533,0.535,0.532,0.528,0.528,0.521,0.515,0.513,0.512,0.513,0.508,0.509,0.515,0.52,0.529,
0.532,0.53,0.529,0.526,0.525,0.532,0.531,0.528,0.527,0.524,0.518,0.519,0.514,0.518,0.514,0.511,0.511,0.508,0.52,0.531,
0.52,0.523,0.525,0.525,0.525,0.525,0.526,0.525,0.521,0.52,0.515,0.513,0.516,0.516,0.509,0.51,0.516,0.517,0.522,0.532,
0.521,0.517,0.52,0.516,0.522,0.52,0.52,0.521,0.516,0.511,0.513,0.508,0.508,0.51,0.511,0.507,0.508,0.514,0.515,0.525,
0.509,0.513,0.509,0.514,0.515,0.515,0.515,0.511,0.512,0.51,0.51,0.508,0.509,0.509,0.506,0.508,0.51,0.508,0.516,0.524,
0.509,0.508,0.507,0.509,0.507,0.507,0.506,0.503,0.498,0.502,0.501,0.5,0.501,0.501,0.503,0.505,0.507,0.511,0.516,0.526,
0.498,0.505,0.503,0.499,0.502,0.5,0.497,0.499,0.493,0.49,0.492,0.492,0.496,0.493,0.497,0.504,0.506,0.508,0.511,0.516,
